fid,adep,ades,our_callsign,bra_callsign,our_first_time,our_last_time,bra_time,time_diff_min,match_method,n_positions,bra_hfe_v1,bra_hfe_v2,bra_dist_flown_v1,bra_dist_flown_v2,bra_dist_achieved_v1,bra_dist_achieved_v2,bra_equip
13,SBGR,SBRJ,AZU4193,NA,2025-12-10T10:08:48Z,2025-12-10T10:53:17Z,2025-12-10T10:08:18Z,0.5,callsign,656,2.62359006974017,2.83503692264658,109.803304200784,49.4153090699648,106.996163480701,48.0529890869154,E195
14,SBGR,SBRJ,AZU4311,NA,2025-12-10T21:29:22Z,2025-12-10T22:05:49Z,2025-12-10T21:29:20Z,0.03333333333333333,callsign,539,2.39126130734154,2.60454870919744,109.842438568439,49.5818588526834,107.277161318222,48.3232561094427,E295
15,SBCF,SBKP,AZU4321,NA,2025-12-10T17:48:36Z,2025-12-10T18:39:45Z,2025-12-10T17:49:15Z,0.65,callsign,756,6.49491848449537,8.1640771079898,205.507805452437,145.005492204972,192.97428307094,134.060675301838,E295
16,SBCF,SBKP,AZU4350,NA,2025-12-10T13:31:19Z,2025-12-10T14:24:25Z,2025-12-10T13:32:00Z,0.6833333333333333,callsign,781,6.16491739925706,7.2867607426931,204.867265660977,144.18274698139,192.970776674302,134.390064518011,E295
17,SBKP,SBCF,AZU4484,NA,2025-12-10T01:21:02Z,2025-12-10T02:03:21Z,2025-12-10T01:21:11Z,0.15,callsign,316,5.48074678201219,5.80950932239769,201.41565012708,140.39421811564,190.95015561781,132.685822866699,E295
18,SBRJ,SBGR,AZU4645,NA,2025-12-10T11:55:41Z,2025-12-10T12:30:08Z,2025-12-10T11:55:42Z,0.016666666666666666,callsign,509,2.515173619392,3.49727951783763,109.496899148348,48.4195444186549,106.81043135612,46.7833982151288,E195
19,SBRJ,SBGR,AZU4741,NA,2025-12-10T19:15:23Z,2025-12-10T20:00:36Z,2025-12-10T19:14:23Z,1,callsign,669,1.76592012353499,1.82072709770028,107.910171857207,46.8416166526766,106.037631975629,46.004009191302,E295
20,SBSP,SBCF,AZU4797,NA,2025-12-10T23:58:45Z,2025-12-10T23:59:58Z,2025-12-10T23:59:39Z,0.9,callsign,19,1.21370756141476,0.559153456331222,206.901342803659,145.279029271553,204.420278427321,144.471213487932,E195
22,SBKP,SBCF,AZU4957,NA,2025-12-10T19:07:21Z,2025-12-10T19:59:31Z,2025-12-10T19:07:50Z,0.48333333333333334,callsign,772,10.3027284218092,5.75757188761843,219.265450457451,140.282850192284,198.785155720679,132.645679820782,E295
23,SBSP,SBCF,AZU5020,NA,2025-12-10T15:21:39Z,2025-12-10T16:15:29Z,2025-12-10T15:22:05Z,0.43333333333333335,callsign,795,1.09405354193718,1.11507141120785,207.015247827251,145.986787694135,204.774900772352,144.376882354605,E195
25,SBCF,SBSP,AZU6029,NA,2025-12-10T12:46:02Z,2025-12-10T14:21:59Z,2025-12-10T12:46:38Z,0.6,callsign,1395,87.6811704644154,11.2157404938881,424.347873744871,176.277906647294,226.100398188495,158.500861356924,E195
29,SBSP,SBCF,AZU6400,NA,2025-12-10T13:30:09Z,2025-12-10T14:26:15Z,2025-12-10T13:30:36Z,0.45,callsign,825,1.43381878586735,0.728766914637237,207.52913017247,145.688854677542,204.595600024264,144.634804078369,E195
31,SBCF,SBSP,AZU6419,NA,2025-12-10T20:03:34Z,2025-12-10T21:26:52Z,2025-12-10T20:04:16Z,0.7,callsign,1230,17.8776656394457,10.8788627371011,264.162326001945,173.624961420183,224.098708240408,156.589774763343,E195
34,SBCF,SBSP,AZU6503,NA,2025-12-10T17:24:33Z,2025-12-10T19:29:03Z,2025-12-10T17:25:18Z,0.75,callsign,1840,12.7674495414059,7.01326831697303,246.386419512459,237.269898163588,218.490726281781,221.72007443114,E195
35,SBSP,SBCF,AZU9354,NA,2025-12-10T22:12:04Z,2025-12-10T22:59:44Z,2025-12-10T22:12:27Z,0.38333333333333336,callsign,704,1.30738229461886,0.548042768703805,207.024059809738,145.185615083925,204.352392807542,144.394272713894,E295
36,SBCF,SBSP,AZU9601,NA,2025-12-10T11:57:59Z,2025-12-10T13:37:45Z,2025-12-10T11:58:37Z,0.6333333333333333,callsign,1455,125.402890409622,114.546690208306,493.108201881081,459.995656858842,218.767470543506,214.403520470172,A20N
37,SBKP,SBCF,AZU9901,NA,2025-12-10T10:17:37Z,2025-12-10T11:34:27Z,2025-12-10T10:17:50Z,0.21666666666666667,callsign,1134,8.43763408702518,5.61156283292481,205.865666484107,139.09274039079,189.847065751077,131.702189286633,AT76
38,SBCF,SBKP,AZU9902,NA,2025-12-10T13:09:25Z,2025-12-10T14:40:23Z,2025-12-10T13:10:04Z,0.65,callsign,1340,9.97345855268563,8.20045342675393,212.785038968273,145.712465345153,193.487630350675,134.668996968476,AT76
40,SBSV,SBGR,GLO1161,NA,2025-12-10T13:39:02Z,2025-12-10T15:32:18Z,2025-12-10T13:39:13Z,0.18333333333333332,callsign,1662,1.16181082867927,0.786546449449488,717.208852729982,654.863935601411,708.97193995923794,649.753323902079,B38M
41,SBSP,SBCF,GLO1184,NA,2025-12-10T12:55:23Z,2025-12-10T13:38:34Z,2025-12-10T12:55:27Z,0.06666666666666667,callsign,638,1.15917704811165,0.511365017776833,206.568813850856,145.043493843356,204.20175398679999,144.305565661856,B738
42,SBBR,SBSV,GLO1232,NA,2025-12-10T15:45:00Z,2025-12-10T17:13:19Z,2025-12-10T15:45:24Z,0.4,callsign,1293,2.34858408547554,2.18872765501326,521.285867766239,460.849968527369,509.323966153642,450.97926072941,B38M
44,SBSP,SBCF,GLO1304,NA,2025-12-10T12:30:24Z,2025-12-10T13:25:36Z,2025-12-10T12:30:25Z,0.016666666666666666,callsign,798,4.68481649304813,5.28583106868803,216.061872047887,154.169323549037,206.39275043505,146.42931720647,B738
45,SBCF,SBSP,GLO1311,NA,2025-12-10T10:02:21Z,2025-12-10T11:10:27Z,2025-12-10T10:02:37Z,0.26666666666666666,callsign,1005,13.2229158054502,10.7464262061558,254.064336333823,172.583462460706,224.393034330947,155.83659750739,B738
46,SBSP,SBCF,GLO1312,NA,2025-12-10T19:10:23Z,2025-12-10T20:07:17Z,2025-12-10T19:10:10Z,0.21666666666666667,callsign,842,14.0553063683399,5.95701356215377,244.235384779389,156.03396900674,214.137678075788,147.261576899024,B738
48,SBCF,SBSP,GLO1317,NA,2025-12-10T13:33:45Z,2025-12-10T14:53:31Z,2025-12-10T13:34:10Z,0.4166666666666667,callsign,1167,18.8888936091417,18.2061166194513,275.413428410494,195.736201009319,231.65614554034,165.588893880564,B738
49,SBCF,SBSP,GLO1329,NA,2025-12-10T14:27:44Z,2025-12-10T15:42:13Z,2025-12-10T14:28:00Z,0.26666666666666666,callsign,1092,16.772597801954,10.5767623921136,261.719333715595,172.370473396972,224.127354055675,155.883089419577,B738
50,SBSP,SBCF,GLO1334,NA,2025-12-10T15:01:42Z,2025-12-10T16:00:56Z,2025-12-10T15:01:47Z,0.08333333333333333,callsign,875,0.798486910141632,0.602926920360922,206.029166594051,145.185419340181,204.397082644424,144.315303525028,B737
53,SBCF,SBSP,GLO1369,NA,2025-12-10T21:18:03Z,2025-12-10T22:49:41Z,2025-12-10T21:18:09Z,0.1,callsign,1353,19.1976182547357,16.1397467952744,263.93224611073,184.496395601305,221.424093849496,158.857239396713,B737
